id;nazwa;zdjecie;stan;miasto;tryb;data;pakiet;platnosc;opis;kategorie
;;;;;;;;;;
0;JavaScript Developer;https://sklep.coderslab.pl/img/p/1/1/9/119-large_default.jpg;;Kraków;Dzienny;10.01.2022 (KRA_FER_S_31);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Miasto: KrakówAdres: ul. Rac³awicka 58Tryb kursu: dzienny, zajêcia od poniedzia³ku do pi¹tku, w godz. 9:00 - 17:00Pakiet kursu: PodstawowyData udostêpnienia preworku: 4 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 395,5 godzinyHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursie Szczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu  Pamiêtaj! Miesi¹c przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z systemami i technologiami, z jakimi bêdziesz mia³ kontakt podczas kursu oraz otrzymasz pierwsze zadania. Przygotujesz równie¿ swój komputer do zajêæ, dziêki czemu nie bêdzie traci³ na to czasu w trakcie zajêæ.  Na prework zarezerwuj 60 godzin. Dostêp do niego otrzymasz miesi¹c przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.     Nasz bestseller!  Na tym kursie nauczysz siê programowaæ tê czêœæ stron internetowych i aplikacji webowych, któr¹ u¿ytkownicy widz¹ w przegl¹darce. W uporz¹dkowany sposób przeka¿emy Ci podstawy programowania w jêzyku JavaScript i u¿ywania biblioteki React.   Za kurs mo¿esz zap³aciæ na trzy sposoby:   P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.    Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.    Niskie Raty PayU ju¿ od 356 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.SprawdŸ wysokoœæ rat dla Twojego kursu: kalkulator rat PayU   TRYBY NAUKI Kurs mo¿esz odbyæ w dwóch trybach:   Dziennym  Zajêcia odbywaj¹ siê zdalnie od poniedzia³ku do pi¹tku w godzinach 9:00-17:00.   Weekendowym  Zajêcia odbywaj¹ siê zdalnie co drugi tydzieñ w soboty i niedziele w godzinach 9:00-17:00.   PAKIETY CENOWE  W ramach kursu mo¿esz wybraæ jeden z trzech pakietów cenowych. Ka¿dy z nich realizuje inne potrzeby kursanta i dlatego zawiera inn¹ liczbê godzin nauki oraz ró¿ne elementy sk³adowe. Wybierz pakiet najlepszy dla siebie.   Pakiet podstawowy – dla chc¹cych zdobyæ nowe kompetencje  Odpowiedni wybór dla tych, którzy nie szukaj¹ pracy po kursie, a jedynie chc¹ zdobyæ umiejêtnoœci uzupe³niaj¹ce ich obecne kompetencje.   Pakiet profesjonalny – dla myœl¹cych o zmianie pracy  Skutecznie przygotujemy Ciê do wymagaj¹cego procesu rekrutacji w nowej bran¿y. Zdobêdziesz wiêcej kompetencji i praktycznych umiejêtnoœci, dziêki czemu bêdziesz mia³ szansê wyró¿niæ siê wœród innych kandydatów na rynku.   Pakiet premium – dla chc¹cych zyskaæ przewagê na rynku pracy  Pakiet zawiera wszystkie elementy z ni¿szych pakietów oraz dodatkowo modu³ Full-Stack (po³¹czenie technologii back-end i front-end). Ten wybór pozwoli Ci aplikowaæ na bardziej wymagaj¹ce stanowiska.  Pakiet Pewna Praca – dla chc¹cych szybko i sprawnie wejœæ do bran¿y  WejdŸ do IT do 6 miesiêcy po kursie! W pakiecie otrzymujesz indywidualne wsparcie wyk³adowcy i praktyka z bran¿y oraz doradcy kariery. Dodatkowo zrobisz miêdzynarodowy certyfikat Scrum Developer Certified (SDC™?) i zyskasz pierwszeñstwo w poleceniach do firm partnerskich.     ;Kursy FRONT-END,Kursy ZDALNE,Black Friday 2021
;;;;;;;;;;
1;Tester Manualny;https://sklep.coderslab.pl/img/p/1/2/3/123-large_default.jpg;;Kraków;Dzienny;07.02.2022 (KRA_TEM_S_15);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu. Miasto: KrakówAdres zajêæ: ul. Rac³awicka 58Tryb kursu: stacjonarny, zajêcia od poniedzia³ku do pi¹tku w godz. 9:00-17:00Pakiet kursu: PodstawowyLiczba godzin kursu: 120 godzinData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuHarmonogram kursu - sprawdŸ, w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Szczegó³owy program kursu - zobacz, jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursiePamiêtaj! 2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z podstawowymi zagadnieniami testerskimi, z którymi póŸniej bêdziesz mia³ do czynienia podczas kursu. Na prework zarezerwuj 40 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.      Najkrótszy i najmniej intensywny z naszych kursów. Przygotuje Ciê do zawodu Testera Manualnego. Zapewni Ci szybkie wejœcie do bran¿y IT poniewa¿ testerzy s¹ niezast¹pieni w ka¿dym zespole programistycznym. W trakcie kursu Testera Manualnego zdajesz egzamin, którego wynikiem jest otrzymanie niezale¿nego, miêdzynarodowe certyfikatu ISTQB. Dziêki niemu zdecydowanie ³atwiej bêdzie Ci znaleŸæ pracê w zawodzie. W trakcie kursu nauczysz siê metodologii i narzêdzi przeprowadzania testów oprogramowania, które weryfikuj¹ czy dzia³a ono zgodnie z wymaganiami klienta. Za kurs mo¿esz zap³aciæ na trzy sposoby: P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.  Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.  Niskie Raty PayU ju¿ od 193 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.SprawdŸ wysokoœæ rat dla Twojego kursu: kalkulator rat PayU. TRYBY NAUKI Kurs mo¿esz odbyæ w trzech trybach: Stacjonarnym Zajêcia odbywaj¹ siê od poniedzia³ku do pi¹tku w godzinach 9:00-17:00 w siedzibie Coders Lab.  Weekendowym Zajêcia odbywaj¹ siê co drugi tydzieñ w soboty i niedziele w godzinach 9:00-17:00 w siedzibie Coders Lab. Zdalnym Kurs odbywa siê zdalnie z dowolnego miejsca, wystarczy dostêp do internetu. 50% godzin kursu to zajêcia zdalne z wyk³adowc¹ i grup¹ w wirtualnej klasie. Zajêcia odbywaj¹ siê wieczorami i w weekendy w godzinach 18:30-21:30. Pozosta³e 50% godzin kursu to nauka w³asna.  PAKIETY CENOWE W ramach kursu mo¿esz wybraæ jeden z trzech pakietów cenowych. Ka¿dy z nich realizuje inne potrzeby kursanta i dlatego zawiera inn¹ liczbê godzin nauki oraz ró¿ne elementy sk³adowe. Wybierz pakiet najlepszy dla siebie. Pakiet podstawowy – dla chc¹cych zdobyæ nowe kompetencje Odpowiedni wybór dla tych, którzy nie szukaj¹ pracy po kursie, a jedynie chc¹ zdobyæ umiejêtnoœci uzupe³niaj¹ce ich obecne kompetencje. Pakiet profesjonalny – dla chc¹cych zmieniæ pracê Skutecznie przygotujemy Ciê do wymagaj¹cego procesu rekrutacji w nowej bran¿y. Zdobêdziesz wiêcej kompetencji i praktycznych umiejêtnoœci, dziêki czemu bêdziesz mia³ szansê wyró¿niæ siê wœród innych kandydatów na rynku. Pakiet premium – dla wymagaj¹cych Pakiet dla najbardziej wymagaj¹cych, zawieraj¹cy wszystkie elementy z ni¿szych pakietów oraz dodatkowo pe³ny kurs Testera Automatycznego. Ten wybór pozwoli Ci aplikowaæ na bardziej wymagaj¹ce stanowiska.     ;Kursy IT,Kursy ZDALNE,Black Friday 2021
;;;;;;;;;;
2;Python Developer;https://sklep.coderslab.pl/img/p/1/2/7/127-large_default.jpg;;Kraków;Dzienny;10.01.2022 (KRA_PYT_S_10);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu. Miasto:  KrakówAdres zajêæ: ul. Rac³awicka 58Tryb kursu: stacjonarny, zajêcia pon-pt. w godz. 9-17Pakiet kursu: PodstawowyData udostêpnienia preworku: 4 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 395,5 godzinyHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu Pamiêtaj! Miesi¹c przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z systemami i technologiami, z jakimi bêdziesz mia³ kontakt podczas kursu oraz otrzymasz pierwsze zadania. Przygotujesz równie¿ swój komputer do zajêæ, dziêki czemu nie bêdzie traci³ na to czasu w trakcie zajêæ.  Na prework zarezerwuj 60 godzin. Dostêp do niego otrzymasz miesi¹c przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.     Python to jeden z najprzyjemniejszych jêzyków do nauki na pocz¹tek. Po tym kursie bêdziesz potrafi³ programowaæ strony i aplikacje internetowe w taki sposób, ¿e bêd¹ wykonywa³y dok³adnie to, czego siê od nich oczekuje. Poznasz tajniki pisania kodu wykonywanego na serwerze czyli w miejscu, którego zwyk³y u¿ytkownik nie widzi i najczêœciej nie ma o nim pojêcia. Bêdziesz odpowiedzialny za logikê systemu oraz to, aby czêœæ front-endowa dosta³a odpowiednie informacje umo¿liwiaj¹ce poprawne wyœwietlanie w oknie przegl¹darki.   Za kurs mo¿esz zap³aciæ na trzy sposoby:   P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.    Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.    Niskie Raty PayU ju¿ od 356 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.SprawdŸ wysokoœæ rat dla Twojego kursu: kalkulator rat PayU  TRYBY NAUKI Kurs mo¿esz odbyæ w dwóch trybach:   Dziennym  Zajêcia odbywaj¹ siê zdalnie od poniedzia³ku do pi¹tku w godzinach 9:00-17:00.   Weekendowym  Zajêcia odbywaj¹ siê zdalnie co drugi tydzieñ w soboty i niedziele w godzinach 9:00-17:00.  PAKIETY CENOWE  W ramach kursu mo¿esz wybraæ jeden z trzech pakietów cenowych. Ka¿dy z nich realizuje inne potrzeby kursanta i dlatego zawiera inn¹ liczbê godzin nauki oraz ró¿ne elementy sk³adowe. Wybierz pakiet najlepszy dla siebie.   Pakiet podstawowy – dla chc¹cych zdobyæ nowe kompetencje  Odpowiedni wybór dla tych, którzy nie szukaj¹ pracy po kursie, a jedynie chc¹ zdobyæ umiejêtnoœci uzupe³niaj¹ce ich obecne kompetencje.   Pakiet profesjonalny – dla myœl¹cych o zmianie pracy  Skutecznie przygotujemy Ciê do wymagaj¹cego procesu rekrutacji w nowej bran¿y. Zdobêdziesz wiêcej kompetencji i praktycznych umiejêtnoœci, dziêki czemu bêdziesz mia³ szansê wyró¿niæ siê wœród innych kandydatów na rynku.   Pakiet premium – dla chc¹cych zyskaæ przewagê na rynku pracy  Pakiet zawiera wszystkie elementy z ni¿szych pakietów oraz dodatkowo modu³ Full-Stack (po³¹czenie technologii back-end i front-end). Ten wybór pozwoli Ci aplikowaæ na bardziej wymagaj¹ce stanowiska.  Pakiet Pewna Praca – dla chc¹cych szybko i sprawnie wejœæ do bran¿y  WejdŸ do IT do 6 miesiêcy po kursie! W pakiecie otrzymujesz indywidualne wsparcie wyk³adowcy i praktyka z bran¿y oraz doradcy kariery. Dodatkowo zrobisz miêdzynarodowy certyfikat Scrum Developer Certified (SDC™?) i zyskasz pierwszeñstwo w poleceniach do firm partnerskich.     ;Kursy BACK-END,Black Friday 2021
;;;;;;;;;;
3;Node.js dla programistów;https://sklep.coderslab.pl/img/p/1/2/8/128-large_default.jpg;;Online;Wieczorowy;17.01.2022 (ONL_FSF_E_10);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: wieczorowy, zajêcia wieczorami i w weekendy, przewa¿nie w godz. 18:30-21:30.Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 130 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Wymagania wstêpne - ten kurs przeznaczony jest dla osób, które maj¹ ju¿ za sob¹ pierwsze doœwiadczenia z kodowaniem. SprawdŸ, co nale¿y ju¿ umieæOgólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu Pamiêtaj! 2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework, czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Jest to praca w³asna. Aby zrealizowaæ ten materia³ musisz spe³niaæ wymagania wstêpne. Ukoñczenie preworku to warunek konieczny udzia³u w kursie! Na prework zarezerwuj 20 godzin. Dostêp do niego otrzymasz od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.      Kurs drugiego stopnia to kurs umo¿liwiaj¹cy wejœcie na wy¿szy poziom programowania pocz¹tkuj¹cym developerom. Uzupe³nienie umiejêtnoœci o NodeJS zwiêksza konkurencyjnoœæ i otwiera przed absolwentami kursu nowe mo¿liwoœci w bran¿y IT, pozwalaj¹c aplikowaæ na bardziej wymagaj¹ce stanowiska. Kurs II stopnia umo¿liwi uzupe³nienie kompetencji front-endowych o back-endowe i zostanie Full Stack Developerem. Kurs organizowany jest w trybie zdalnym, dziêki czemu mo¿esz go swobodnie ³¹czyæ z innymi obowi¹zkami, a jednoczeœnie pracowaæ systematycznie dziêki sesjom w Wirtualnej Klasie. Sta³y kontakt z wyk³adowc¹ i praktyczne warsztaty w ma³ych grupach oraz wymagane zaliczenie stanowi¹ gwarancjê najwy¿szej jakoœci naszego kursu.   Model nauki oparty jest o Wirtualn¹ Klasê, zajêcia odbywaj¹ siê zdalnie w poniedzia³ki i w czwartki, w godz. 18:30-20:30. Bierzesz udzia³ w interaktywnych zajêciach z wyk³adowc¹ i grup¹ na ¿ywo 2 razy w tygodniu. Uczysz siê z dowolnego miejsca z dostêpem do internetu. Z ³atwoœci¹ po³¹czysz naukê na kursie z prac¹ lub studiami.   Za kurs mo¿esz zap³aciæ na trzy sposoby: P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.  Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.  Niskie Raty PayU ju¿ od 104,45 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.      ;Kursy BACK-END,Kursy dla œrednio zaawansowanych
;;;;;;;;;;
4;Tester Automatyzuj¹cy;https://sklep.coderslab.pl/img/p/1/2/4/124-large_default.jpg;;Online;Wieczorowy;31.01.2022 (ONL_TEA_E_10);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: zdalny, zajêcia wieczorami i w weekendy, przewa¿nie w godz. 18:30-21:30.Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 120 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu  Pamiêtaj!  2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z podstawowymi zagadnieniami, z którymi póŸniej bêdziesz mia³ do czynienia podczas kursu. Przerobienie preworku jest warunkiem koniecznym udzia³u w kursie.  Na prework zarezerwuj 40 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.      Zrób kolejny krok na œcie¿ce swojej kariery i naucz siê tworzyæ testy automatyczne. Wystarcz¹ 4 tygodnie aby zostaæ Junior Testerem Automatyzuj¹cym! W ramach kursu poznasz narzêdzia i œrodowisko pracy testera oraz odbêdziesz pe³ny sprint Scrum’owy, ucz¹c siê dobrych praktyk testerskich.  Aby wzi¹æ udzia³ w kursie wymagamy znajomoœci testowania manualnego. Twoj¹ wiedzê sprawdzimy podczas rekrutacji na kurs. Mile widziana znajomoœæ podstaw jêzyka Java.  Za kurs mo¿esz zap³aciæ na trzy sposoby: 1. P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.  2. Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.  3. Niskie Raty PayU ju¿ od 319,88 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.SprawdŸ wysokoœæ rat dla Twojego kursu: kalkulator rat PayU Kurs organizujemy w trybie zdalnym, dziêki czemu uczysz siê z dowolnego miejsca. - Model nauki oparty jest o Wirtualna Klasê, zajêcia odbywaj¹ siê zdalnie wieczorami i w weekendy przewa¿nie w godz. 18:30-21:30. - Zajêcia w wirtualnej klasie to a¿ 50% godzin kursu. - Bierzesz udzia³ w interaktywnych zajêciach na ¿ywo 3 razy w tygodniu. - Uczysz siê z dowolnego miejsca z dostêpem do internetu. - Z ³atwoœci¹ po³¹czysz naukê na kursie z prac¹ lub studiami.      ;Kursy IT,Kursy ZDALNE
;;;;;;;;;;
