id;nazwa;zdjecie;stan;miasto;tryb;data;pakiet;platnosc;opis;kategorie
5;Java Developer;https://sklep.coderslab.pl/img/p/1/2/6/126-large_default.jpg;;Warszawa;Dzienny;17.01.2022 (WAR_JEE_S_29);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu. Miasto: WarszawaAdres zajêæ: ul. Prosta 51Tryb kursu: stacjonarny, zajêcia pon.-pt. w godzinach 9-17Pakiet kursu: PodstawowyData udostêpnienia preworku: 4 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 439,5 godzinyHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursie Szczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu  Pamiêtaj! Miesi¹c przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z systemami i technologiami, z jakimi bêdziesz mia³ kontakt podczas kursu oraz otrzymasz pierwsze zadania. Przygotujesz równie¿ swój komputer do zajêæ, dziêki czemu nie bêdzie traci³ na to czasu w trakcie zajêæ.   Na prework zarezerwuj 60 godzin. Dostêp do niego otrzymasz miesi¹c przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.      Najpopularniejszy back-endowy jêzyk do zastosowañ w internecie i nie tylko. Jest na tyle uniwersalny, ¿e pozwala tworzyæ zarówno strony internetowe, aplikacje mobilne, zaawansowane systemy finansowe jak i te zwi¹zane z obs³ug¹ klienta. Zostaj¹c Absolwentem tego kursu otworzysz sobie drzwi do œwiata IT w korporacjach, w których ta technologia bardzo czêsto u¿ywana jest przy realizacji du¿ych i zaawansowanych projektów software’owych. Dziêki naszemu kursowi zyskasz solidne podstawy i ugruntowan¹ wiedzê dotycz¹c¹ programowania w tym jêzyku.   Za kurs mo¿esz zap³aciæ na trzy sposoby: P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.  Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.  Niskie Raty PayU ju¿ od 389 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.SprawdŸ wysokoœæ rat dla Twojego kursu: kalkulator rat PayU TRYBY NAUKI Kurs mo¿esz odbyæ w dwóch trybach:   Dziennym  Zajêcia odbywaj¹ siê zdalnie od poniedzia³ku do pi¹tku w godzinach 9:00-17:00.   Weekendowym  Zajêcia odbywaj¹ siê zdalnie co drugi tydzieñ w soboty i niedziele w godzinach 9:00-17:00.  PAKIETY CENOWE  W ramach kursu mo¿esz wybraæ jeden z trzech pakietów cenowych. Ka¿dy z nich realizuje inne potrzeby kursanta i dlatego zawiera inn¹ liczbê godzin nauki oraz ró¿ne elementy sk³adowe. Wybierz pakiet najlepszy dla siebie.   Pakiet podstawowy – dla chc¹cych zdobyæ nowe kompetencje  Odpowiedni wybór dla tych, którzy nie szukaj¹ pracy po kursie, a jedynie chc¹ zdobyæ umiejêtnoœci uzupe³niaj¹ce ich obecne kompetencje.   Pakiet profesjonalny – dla myœl¹cych o zmianie pracy  Skutecznie przygotujemy Ciê do wymagaj¹cego procesu rekrutacji w nowej bran¿y. Zdobêdziesz wiêcej kompetencji i praktycznych umiejêtnoœci, dziêki czemu bêdziesz mia³ szansê wyró¿niæ siê wœród innych kandydatów na rynku.   Pakiet premium – dla chc¹cych zyskaæ przewagê na rynku pracy  Pakiet zawiera wszystkie elementy z ni¿szych pakietów oraz dodatkowo modu³ Full-Stack (po³¹czenie technologii back-end i front-end). Ten wybór pozwoli Ci aplikowaæ na bardziej wymagaj¹ce stanowiska.  Pakiet Pewna Praca – dla chc¹cych szybko i sprawnie wejœæ do bran¿y  WejdŸ do IT do 6 miesiêcy po kursie! W pakiecie otrzymujesz indywidualne wsparcie wyk³adowcy i praktyka z bran¿y oraz doradcy kariery. Dodatkowo zrobisz miêdzynarodowy certyfikat Scrum Developer Certified (SDC™?) i zyskasz pierwszeñstwo w poleceniach do firm partnerskich.     ;Kursy BACK-END,Black Friday 2021
;;;;;;;;;;
6;Test Lab;https://sklep.coderslab.pl/img/p/1/3/9/139-large_default.jpg;;Online;Self-learning;;Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: self-learningTryb kursu: mailing (newsletter) wysy³any raz w tygodniu we wtorkiTermin pierwszego maila: 30.11.2021Liczba godzin kursu: 24 godziny Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursie       Test Lab. Przetestuj 3 dodatkowe rodzaje aplikacji po zakoñczeniu zajêæTest Lab to innowacyjne rozwi¹zanie w œwiecie szkó³ IT. Wprowadzamy to jako pierwsi, bo w ten sposób odpowiadamy na potrzeby naszych kursantów.Co to jest Test Lab?Na Test Lab, nowy modu³ kursu testerskiego dla absolwentów, sk³adaj¹ siê 24 godziny samodzielnej nauki. Przez 6 tygodni po zakoñczeniu zajêæ w ka¿dy wtorek dostaniesz od nas e-mail z nowymi zagadnieniami utrwalaj¹cymi wiedzê (m.in. zadania z SQL) oraz nowe materia³y do nauki testowania. Wszystkie materia³y znajdziesz równie¿ w LMS-ie, naszej autorskiej platformie edukacyjnej. Dziêki temu nie zgubisz ¿adnej z wartoœciowych treœci Test Labu.Dla kogo jest Test Lab?Test Lab powsta³ z myœl¹ o naszych absolwentach i kursantach. Chcemy pokazaæ Ci jak najwiêcej typów systemów, z którymi mo¿esz pracowaæ. W tym celu wprowadziliœmy zmiany w programie kursu i pozostajemy z Tob¹ w kontakcie jeszcze po zakoñczeniu kursu. Czegoœ takiego nie znajdziesz na ¿adnym innym bootcampie.Test Lab jest nowym elementem kursu testerskiego, ale – jeœli jesteœ absolwentem kursu Tester Manualny – mo¿esz kupiæ go jako osobny produkt. W ten sposób masz okazjê przetestowaæ 3 nowe rodzaje aplikacji, których nie by³o na kursie. Test Lab to:? mailing wysy³any do Ciebie raz w tygodniu przez 6 tygodni,? dodatkowe lekcje i zadania do samodzielnej pracy, ? mo¿liwoœæ przetestowania aplikacji finansowej, CRM oraz wspieraj¹cej dzia³y HR,? nauka UML i BPMN,? automatyzacja testów Selenium IDE (record&play),? praca nad tworzeniem dokumentacji projektowej.Dziêki temu testujesz ró¿ne aplikacje i zdobywasz niezbêdne doœwiadczenie w pracy testerskiej.     ;Kursy dla œrednio zaawansowanych
;;;;;;;;;;
7;JS, React, Redux dla programistów;https://sklep.coderslab.pl/img/p/1/2/9/129-large_default.jpg;;Online;Wieczorowy;10.01.2022 (ONL_FSB_E_11);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: wieczorowy, zajêcia wieczorami i w weekendy, przewa¿nie w godz. 18:30-21:30.Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 130 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Wymagania wstêpne - ten kurs przeznaczony jest dla osób, które maj¹ ju¿ za sob¹ pierwsze doœwiadczenia z kodowaniem. SprawdŸ, co nale¿y ju¿ umieæ Szczegó³owy program kursu - zobacz, jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursie Pamiêtaj!  2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Jest to praca w³asna. Aby zrealizowaæ ten materia³ musisz spe³niaæ wymagania wstêpne. Ukoñczenie preworku to warunek konieczny udzia³u w kursie.  Na prework zarezerwuj 20 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.      Zostañ specjalist¹ JavaScript na profesjonalnym kursie dla pocz¹tkuj¹cych programistów! Dziêki profesjonalnej znajomoœci JavaScriptu, Reacta i Reduxa Twoje nowe kompetencje programisty front-endowego pozwol¹ Ci na realizowanie zaawansowanych projektów stron www oraz aplikacji webowych.  Kurs organizowany jest w trybie zdalnym, dziêki czemu mo¿esz go swobodnie ³¹czyæ z innymi obowi¹zkami, a jednoczeœnie pracowaæ systematycznie dziêki sesjom w wirtualnej klasie. Sta³y kontakt z wyk³adowc¹ i praktyczne warsztaty w ma³ych grupach oraz wymagane zaliczenie stanowi¹ gwarancjê najwy¿szej jakoœci naszego kursu.   Kurs organizowany jest w trybie zdalnym, dziêki czemu mo¿esz go swobodnie ³¹czyæ z innymi obowi¹zkami. Sta³y kontakt z wyk³adowc¹ i praktyczne warsztaty w ma³ych grupach oraz wymagane zaliczenie stanowi¹ gwarancjê najwy¿szej jakoœci naszego kursu.   - Model nauki oparty jest o wirtualn¹ klasê, zajêcia odbywaj¹ siê zdalnie wieczorami (18:30-20:00) oraz w soboty (rano). - Bierzesz udzia³ w interaktywnych zajêciach z wyk³adowc¹ i grup¹ na ¿ywo 4 razy w tygodniu. - Uczysz siê z dowolnego miejsca z dostêpem do internetu. - Z ³atwoœci¹ po³¹czysz naukê na kursie z prac¹ lub studiami. Za kurs mo¿esz zap³aciæ na trzy sposoby: - P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.  - Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.  - Niskie Raty PayU ju¿ od 104,45 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.      ;
;;;;;;;;;;
8;Python - analiza danych;https://sklep.coderslab.pl/img/p/1/2/1/121-large_default.jpg;Nowy produkt;Online;Weekendowy;15.01.2022 (ONL_PAD_W_11);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Miasto: onlineTryb kursu: weekendowy, zajêcia w soboty i niedziele co 2 tygodnie, w godz. 9-17Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 120 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Szczegó³owy program kursu - zobacz, jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursie Pamiêtaj! Dwa tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z systemami i technologiami, z jakimi bêdziesz mia³ kontakt podczas kursu oraz otrzymasz pierwsze zadania. Przygotujesz równie¿ swój komputer do zajêæ, dziêki czemu nie bêdzie traci³ na to czasu w trakcie zajêæ. Na prework zarezerwuj 30 godzin. Dostêp do niego otrzymasz 3 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.     NOWOŒÆ!  Na tym kursie nauczysz siê automatyzowaæ, optymalizowaæ i wizualizowaæ du¿e zbiory danych. Nauczymy Ciê jak automatyzowaæ tworzenie raportów, samodzielnie pozyskiwaæ dane z systemów bazodanowych, pracowaæ z bazami danych SQL oraz wizualizowaæ wyniki. Na kursie przekazujemy Ci praktyczn¹ wiedzê, dziêki której bêdziesz móg³ usprawniæ swoj¹ obecn¹ pracê oraz rozwijaæ siê w kierunku: big data, data science, risk management, data mining.TRYBY NAUKIWeekendowy: Zajêcia odbywaj¹ siê zdalnie co drugi tydzieñ w soboty i niedziele w godzinach 9:00-17:00.FINANSOWANIE KURSU  Za kurs mo¿esz zap³aciæ na trzy sposoby:   P³atnoœæ jednorazowa - brak dodatkowych op³at, mo¿liwoœæ p³atnoœci kart¹ lub przelewem.    Raty PayU 0% - nieoprocentowane raty PayU, dziêki którym nie ponosisz ¿adnych dodatkowych kosztów. P³atnoœæ za kurs mo¿esz podzieliæ na 3,5,6, lub 10 rat.    Niskie Raty PayU ju¿ od 100 z³ - mo¿liwoœæ podzielenia p³atnoœci za kurs nawet na 36 rat. Oprocentowanie zale¿y od liczby rat i zaczyna siê ju¿ od 6,5%.     Stan:   Nowy produkt     ;Kursy IT,Kursy ZDALNE,Kursy dla œrednio zaawansowanych
;;;;;;;;;;
9;Docker - Wstêp do Konteneryzacji;https://sklep.coderslab.pl/img/p/1/3/2/132-large_default.jpg;;Online;Weekendowy;15.01.2022 (ONL_DOC_W_05);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: weekendowy, kurs trwa jeden weekend - sobota i niedziela od 9:00 do 17:00.Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 16 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursuPamiêtaj!  2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z podstawowymi zagadnieniami, z którymi póŸniej bêdziesz mia³ do czynienia podczas kursu. Przerobienie preworku jest warunkiem koniecznym udzia³u w kursie.  Na prework zarezerwuj 10 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.        Wyró¿nij siê wœród kandydatów! Poznaj DockerKurs Docker jest odpowiedni zarówno dla juniorów którzy chc¹ wyró¿niæ siê na tle konkurencji, jak i specjalistów, którzy nie maj¹ jeszcze doœwiadczenia z t¹ technologi¹.Co zyskasz znaj¹c Docker?Poznaj wygodne i efektywne narzêdzie, które ci¹gle zyskuje na popularnoœci. Zostañ zauwa¿ony przez przysz³ego pracodawcê dziêki znajomoœci Dockera. ? Aplikuj na bardziej wymagaj¹ce stanowiska ? Wyró¿nij siê wœród kandydatów ? Poznaj technologiê, która staje siê standardem Nawet przy mniejszych projektach – takich jak strony internetowe – wykorzystanie Dockera przy procesie developmentu pozwala uruchomiæ na swoim komputerze (bez blokowania zasobów jak przy pe³nej wirtualizacji) konfiguracjê zawieraj¹c¹ tylko to co jest niezbêdne dla danego projektu. Znajomoœæ Dockera, GitOps czy tworzenia plików do deploymentu - to obecnie bardzo po¿¹dane umiejêtnoœci na rynku IT.Co bêdziesz potrafiæ po kursie?? Tworzyæ konfiguracjê do budowania w³asnych obrazów Dockerowych? Wykorzystywaæ Dockera przy ca³ym procesie wytwarzania aplikacji - od tworzenia po deployment? Tworzyæ podstawowe konfiguracjê uruchomieniowe dla Docker Swarm? Tworzyæ podstawowe konfiguracje uruchomieniowe dla Kubernetes? Przygotowywaæ CI/CD w oparciu o podejœcie GitOps   100% zajêæ odbywa siê z wyk³adowc¹ i grup¹ w Wirtualnej Klasie.   Zajêcia maj¹ formê praktycznych warsztatów programistycznych online na ¿ywo z udzia³em wyk³adowcy i grupy na platformie do komunikacji grupowej (ZOOM).      ;Kursy dla œrednio zaawansowanych
;;;;;;;;;;
10;SQL – Analiza Danych;https://sklep.coderslab.pl/img/p/1/3/4/134-large_default.jpg;;Online;Weekendowy;15.01.2022 (ONL_SQL_W_06);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: weekendowy, zajêcia w soboty i niedziele co 2 tygodnie w godz. 9:00 - 17:00Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 55 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursuPamiêtaj!  2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z podstawowymi zagadnieniami, z którymi póŸniej bêdziesz mia³ do czynienia podczas kursu. Przerobienie preworku jest warunkiem koniecznym udzia³u w kursie.  Na prework zarezerwuj 10 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.        SQL – ANALIZA DANYCH Zyskaj czas na prawdziw¹ analizêKurs jêzyka SQL jest odpowiedni zarówno dla juniorów, którzy chc¹ zdobyæ przewagê na rynku, jak i dla specjalistów, którzy ju¿ pracuj¹ na du¿ych bazach danych, ale chc¹ pracowaæ wydajniej.Co zyskasz dziêki kursowi SQL – ANALIZA DANYCH?Zgodnie z danymi raportu StackOverflow 2020 SQL poznasz 3 najpopularniejszy jêzyk programowania, którego poszukuje 80% pracodawców.Dodatkowo: ? znajomoœæ SQL wyró¿ni Ciê na rynku pracy,? poszerzysz swoje umiejêtnoœci analityczne,? zyskasz w pracy czas, na rzecz najwa¿niejsz¹ – analizê, ? staniesz siê niezale¿ny od innych,? zwiêkszysz swoj¹ wydajnoœæ w pracy,? sprawnie znajdziesz odpowiedzi na wszystkie zapytania. Umiejêtnoœæ pos³ugiwania siê jêzykiem SQL sprawia, ¿e praca na rozbudowanych relacyjnych bazach danych staje siê bardziej efektywna. To bardzo wa¿ne, poniewa¿ rozwój Data Science wymaga coraz wiêkszej liczby wnikliwych analiz. Jeœli mo¿esz wiêc wykonaæ je skutecznie i zaoszczêdziæ przy tym czas, to czemu odbieraæ sobie tê mo¿liwoœæ?Analityk danych to zawód przysz³oœci, który z roku na rok zyskuje na popularnoœci. Dlatego warto ju¿ dziœ zainwestowaæ w swój rozwój i zyskaæ now¹ umiejêtnoœæ analityczn¹. W trakcie kursu jêzyka SQL nauczysz siê:? dodatkowych metod formatowania wyjœciowego zbioru danych, ? manipulowaæ rekordami w bazie danych, ? tworzyæ skuteczne i rozbudowane zapytania w jêzyku SQL,? zasad dzia³ania z relacyjnymi bazami danych,? grupowaæ i analizowaæ uzyskane dane.A to jeszcze nie wszystko. Wprowadzimy Ciê tak¿e w œwiat proceduralnego SQL, czyli rozszerzenia umo¿liwiaj¹cego tworzenie pêtli, instrukcji warunkowych oraz zmiennych.   100% zajêæ odbywa siê z wyk³adowc¹ i grup¹ w Wirtualnej Klasie. Zajêcia maj¹ formê praktycznych warsztatów programistycznych online na ¿ywo z udzia³em wyk³adowcy i grupy na platformie do komunikacji grupowej (ZOOM).      ;Kursy IT,Kursy ZDALNE,Kursy dla œrednio zaawansowanych
;;;;;;;;;;
11;Wizualizacja Danych;https://sklep.coderslab.pl/img/p/1/3/5/135-large_default.jpg;;Online;Weekendowy;19.02.2022 (ONL_WID_W_01);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: platforma do nauki zdalnejTryb kursu: weekendowy, kurs trwa 5 tygodni, trzy weekendy – co druga sobota i niedziela od 9:00 do 17:00.Pakiet kursu: PodstawowyData udostêpnienia preworku: 2 tygodnie przed dat¹ rozpoczêcia kursuLiczba godzin kursu: 65 godzinHarmonogram kursu - sprawdŸ w jakich dniach i godzinach bêd¹ odbywa³y siê zajêcia Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursuPamiêtaj!  2 tygodnie przed startem kursu udostêpnimy Ci tzw. prework czyli materia³y przygotowuj¹ce do g³ównej czêœci kursu. Zapoznasz siê z podstawowymi zagadnieniami, z którymi póŸniej bêdziesz mia³ do czynienia podczas kursu. Przerobienie preworku jest warunkiem koniecznym udzia³u w kursie.  Na prework zarezerwuj 10 godzin. Dostêp do niego otrzymasz 2 tygodnie przed kursem od Opiekuna Kursu, który skontaktuje siê z Tob¹ po dokonaniu zakupu.        WIZAUALIZACJA DANYCHWidzisz wiêcej, rozumiesz wiêcejKurs Wizualizacja danych powsta³ dla osób, które pracuj¹ na du¿ych zbiorach danych, prowadz¹ rozbudowane badania, tworz¹ prognozy inwestycyjne lub strategie marketingowe. Powsta³ wiêc dla wszystkich tych, którzy chc¹ i potrzebuj¹ pokazaæ dane w czytelny, atrakcyjny i profesjonalny sposób. Dobrze zwizualizowane dane pozwalaj¹ opowiadaæ historie i tworzyæ prezentacje, które ka¿dy zrozumie.W tym celu jest potrzebna znajomoœæ najpopularniejszych narzêdzi do wizualizacji danych, np. Tableau, Dash czy Mapbox.Co zyskasz dziêki kursowi Wizualizacja Danych?Zgodnie z danymi raportu Gartnera z 2021 Tableau – jedno z wa¿niejszych narzêdzi do wizualizacji danych – jest jednym z liderów narzêdzi w Business Intelligence. Tylko na pocz¹tku lipca na Pracuj.pl znajdowa³o siê 355 og³oszeñ o pracê z wymogiem znajomoœci Tableau.Jeœli wiêc chcesz tworzyæ profesjonalne raporty, które zrozumie ka¿dy odbiorca – kurs Wizualizacja Danych jest dla Ciebie.  W trakcie kursu Wizualizacja Danych nauczysz siê:? storytellingu danych i tworzenia przekonuj¹cych historii opartych na danych,? obs³ugiwaæ biblioteki wizualizacji danych – Seaborn, Plotly, Dash,? obs³ugiwaæ najpopularniejsze narzêdzia – GeoPandas, Mapbox, Tableau,? przygotowywaæ ca³oœciowe dashboardy do analizy. 100% zajêæ odbywa siê z wyk³adowc¹ i grup¹ w Wirtualnej Klasie. Zajêcia maj¹ formê praktycznych warsztatów programistycznych online na ¿ywo z udzia³em wyk³adowcy i grupy na platformie do komunikacji grupowej (ZOOM).      ;Kursy IT,Kursy ZDALNE,Kursy dla œrednio zaawansowanych
;;;;;;;;;;
12;SCRUMstudy Scrum Developer Certified (SDC™);https://sklep.coderslab.pl/img/p/1/3/8/138-large_default.jpg;;Online;Weekendowy;20.11.2021 (ONL_SDC_W_01);Podstawowy;Jednorazowa;  Poni¿ej znajdziesz najwa¿niejsze informacje dotycz¹ce Twojego kursu.Adres zajêæ: zdalnieTryb kursu: weekendowy, kurs trwa jeden weekend - sobota i niedziela od 9:00 do 17:00Termin kursu: 20 - 21 listopada 2021 r. Liczba godzin kursu: 16 godzinJêzyk: zajêcia s¹ prowadzone w jêzyku polskim, materia³y i egzamin s¹ w jêzyku angielskim Ogólne Warunki Umowy - zapoznaj siê ze szczegó³owymi warunkami udzia³u w kursieSzczegó³owy program kursu - zobacz jakie zagadnienia bêd¹ poruszane w ka¿dym tygodniu kursu     SCRUMstudy Scrum Developer Certified (SDC™)Poznaj Scrum od podstaw i zwinnie pracuj nad projektamiKurs realizujemy we wspó³pracy z Altkom Akademia – liderem na rynku szkoleñ biznesowych. Certyfikat, który dostajesz po zdaniu egzaminu, potwierdza, ¿e masz wiedzê umo¿liwiaj¹c¹ zastosowanie Scrum w projektach. Zrozumienie samej metodyki z kolei usprawnia pracê, zwiêksza Twoj¹ skutecznoœæ i wartoœæ na rynku pracy. Scrum Developer Certified (SDC™) jest podstawowym szkoleniem skierowanym do cz³onków zespo³ów Scrum, wszystkich osób wspó³pracuj¹cych z takimi zespo³ami oraz osób, które w przysz³oœci chc¹ pracowaæ w zespo³ach Scrum. Jeœli zastanawiasz siê, czy warto, odpowiadamy – warto! Na portalu pracuj.pl tylko na pocz¹tku wrzeœnia 2021 roku by³o 1617 og³oszeñ z wymogiem znajomoœci procesów scrumowych.S¹ wœród nich zarówno oferty dla programistów, jak i project managerów czy analityków. Daje Ci to naprawdê du¿o mo¿liwoœci rozwoju swojej kariery.Dodatkowo certyfikat, który otrzymasz po zakoñczeniu kursu, jest dobrze postrzegany przez wiele firm, tak¿e tych z listy Fortune 500. Wœród nich znajduj¹ siê np. Apple, IBM, HP, Dell i PepsiCo.Co zyskasz dziêki kursowi Scrum Developer Certified (SDC™)? Celem szkolenia i egzaminu jest zdobycie certyfikatu Scrum Developer Certified (SDC®). Jest on uznawany na ca³ym œwiecie. Potwierdza przygotowanie do pracy w projektach realizowanych w œrodowisku scrumowym. Certyfikat umo¿liwia rozwój kariery w organizacjach pracuj¹cych w metodyce zwinnej Scrum.Czego nauczysz siê na kursie?Na zajêciach nauczysz siê pracy w kolejnych fazach projektu Scrum, uczestnictwach w wydarzeniach Scrum i tworzenia wartoœciowych produktów.Na kursie s¹ poruszane takie zagadnienia jak: ? wstêp do metodologii Scrum,? charakterystyka poszczególnych osób w procesie, (np. Product Owner czy Scrum Master),? biznesowe znaczenie metodologii zwinnej, ? narzêdzia do zarz¹dzania procesem,? ocenianie ryzyka,? raportowanie postêpów. Wymagania na kursJednym wymaganiem na kursie Scrum Developer Certified (SDC™) jest znajomoœæ jêzyka angielskiego. Zajêcia s¹ prowadzone po polsku, ale udostêpnione na platformie materia³y oraz sam egzamin s¹ w jêzyku angielskim.EgzaminKurs Scrum Developer Certified (SDC™) koñczy siê egzaminem w postaci testu jednokrotnego wyboru. Na podejœcie do niego masz 180 dni od zakoñczenia zajêæ. Egzamin odbywa siê zdalnie na platformie ScrumStudy. Test trwa 90 minut i sk³ada siê z 75 pytañ. Potrzebujesz 65% poprawnych odpowiedzi, aby otrzymaæ certyfikat.     ;Kursy IT,Kursy ZDALNE
;;;;;;;;;;
